Question,Answer
What is (are) Monoclonal mast cell activation syndrome ?,"Monoclonal mast cell activation syndrome (MMAS) is a rare immunological disorder characterized by recurrent episodes of allergy, flushing, stomach and intestinal cramping, diarrhea, wheezing, fatigue and a temporary loss of consciousness caused by a fall in blood pressure (hypotension). MMAS is very similar to systemic mastocytosis but without the itchy skin patches known as urticaria pigmentosa. Symptoms may be triggered by a number of factors, including eating, exertion, environmental conditions, emotional stress, or insect stings. It is caused by a very small change (mutation) in the KIT gene which results in a defect of the mast cells. Treatment may include antihistamines and other medications, as needed."
What is (are) cap myopathy ?,"Cap myopathy is a disorder that primarily affects skeletal muscles, which are muscles that the body uses for movement. People with cap myopathy have muscle weakness (myopathy) and poor muscle tone (hypotonia) throughout the body, but they are most severely affected in the muscles of the face, neck, and limbs. The muscle weakness, which begins at birth or during childhood, can worsen over time.  Affected individuals may have feeding and swallowing difficulties in infancy. They typically have delayed development of motor skills such as sitting, crawling, standing, and walking. They may fall frequently, tire easily, and have difficulty running, climbing stairs, or jumping. In some cases, the muscles used for breathing are affected, and life-threatening breathing difficulties can occur.  People with cap myopathy may have a high arch in the roof of the mouth (high-arched palate), severely drooping eyelids (ptosis), and a long face. Some affected individuals develop an abnormally curved lower back (lordosis) or a spine that curves to the side (scoliosis).  The name cap myopathy comes from characteristic abnormal cap-like structures that can be seen in muscle cells when muscle tissue is viewed under a microscope. The severity of cap myopathy is related to the percentage of muscle cells that have these caps. Individuals in whom 70 to 75 percent of muscle cells have caps typically have severe breathing problems and may not survive childhood, while those in whom 10 to 30 percent of muscle cells have caps have milder symptoms and can live into adulthood."
What is (are) Head and Neck Cancer ?,"Head and neck cancer includes cancers of the mouth, nose, sinuses, salivary glands, throat, and lymph nodes in the neck. Most begin in the moist tissues that line the mouth, nose and throat. Symptoms include       -  A lump or sore that does not heal    -  A sore throat that does not go away    -  Trouble swallowing    -  A change or hoarseness in the voice       Using tobacco or alcohol increases your risk. In fact, 85 percent of head and neck cancers are linked to tobacco use, including smoking and smokeless tobacco. If found early, these cancers are often curable. Treatments may include surgery, radiation therapy, chemotherapy or a combination. Treatments can affect eating, speaking or even breathing, so patients may need rehabilitation.    NIH: National Cancer Institute"
What are the symptoms of Paris-Trousseau thrombocytopenia ?,"What are the signs and symptoms of Paris-Trousseau thrombocytopenia? The Human Phenotype Ontology provides the following list of signs and symptoms for Paris-Trousseau thrombocytopenia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the cardiovascular system 50% Cognitive impairment 50% Abnormal bleeding - Clinodactyly - Intellectual disability - Prolonged bleeding time - Ptosis - Pyloric stenosis - Radial deviation of finger - Sporadic - Thrombocytopenia - Trigonocephaly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Ehlers-Danlos-like syndrome due to tenascin-X deficiency ?,"What are the signs and symptoms of Ehlers-Danlos-like syndrome due to tenascin-X deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for Ehlers-Danlos-like syndrome due to tenascin-X deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Bruising susceptibility 90% Hyperextensible skin 90% Joint hypermobility 90% Arthralgia 50% Joint dislocation 50% Muscle weakness 50% Muscular hypotonia 50% Myalgia 50% Peripheral neuropathy 50% Skeletal muscle atrophy 50% Thin skin 50% Abnormality of the mitral valve 7.5% Arrhythmia 7.5% Atherosclerosis 7.5% Cerebral ischemia 7.5% Gastrointestinal hemorrhage 7.5% Hypercortisolism 7.5% Spina bifida occulta 7.5% Increased connective tissue 5% Muscle fiber splitting 5% Proximal amyotrophy 5% Proximal muscle weakness 5% Ambiguous genitalia, female - Autosomal recessive inheritance - Bicornuate uterus - Hiatus hernia - Mitral valve prolapse - Soft skin - Vesicoureteral reflux - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What is (are) Lesch-Nyhan syndrome ?,"Lesch-Nyhan syndrome is a condition that occurs almost exclusively in males. It is characterized by neurological and behavioral abnormalities and the overproduction of uric acid. Uric acid is a waste product of normal chemical processes and is found in blood and urine. Excess uric acid can be released from the blood and build up under the skin and cause gouty arthritis (arthritis caused by an accumulation of uric acid in the joints). Uric acid accumulation can also cause kidney and bladder stones.  The nervous system and behavioral disturbances experienced by people with Lesch-Nyhan syndrome include abnormal involuntary muscle movements, such as tensing of various muscles (dystonia), jerking movements (chorea), and flailing of the limbs (ballismus). People with Lesch-Nyhan syndrome usually cannot walk, require assistance sitting, and generally use a wheelchair. Self-injury (including biting and head banging) is the most common and distinctive behavioral problem in individuals with Lesch-Nyhan syndrome."
What causes Leber hereditary optic neuropathy ?,"What causes Leber hereditary optic neuropathy (LHON)? Leber hereditary optic neuropathy is a condition related to changes in mitochondrial DNA. Mutations in the MT-ND1, MT-ND4, MT-ND4L, and MT-ND6 genes cause LHON. These genes are contained in mitochondrial DNA. Mitochondria are structures within cells that convert the energy from food into a form that cells can use. Although most DNA is packaged in chromosomes within the nucleus, mitochondria also have a small amount of their own DNA (known as mitochondrial DNA or mtDNA). The genes related to Leber hereditary optic neuropathy each provide instructions for making a protein involved in normal mitochondrial function. These proteins are part of a large enzyme complex in mitochondria that helps convert oxygen and simple sugars to energy. Mutations in any of the genes disrupt this process. It remains unclear how these genetic changes cause the death of cells in the optic nerve and lead to the specific features of Leber hereditary optic neuropathy. Click here to visit the Genetic Home Reference Web site to learn more about how mutations in these genes cause Leber hereditary optic neuropathy."
What causes Hypoglycemia ?,"Diabetes Medications
                
Hypoglycemia can occur as a side effect of some diabetes medications, including insulin and oral diabetes medicationspillsthat increase insulin production, such as
                
- chlorpropamide (Diabinese)  - glimepiride (Amaryl)  - glipizide (Glucotrol, Glucotrol XL)  - glyburide (DiaBeta, Glynase, Micronase)  - nateglinide (Starlix)  - repaglinide (Prandin)  - sitagliptin (Januvia)  - tolazamide  - tolbutamide
                
Certain combination pills can also cause hypoglycemia, including
                
- glipizide + metformin (Metaglip)  - glyburide + metformin (Glucovance)  - pioglitazone + glimepiride (Duetact)  - rosiglitazone + glimepiride (Avandaryl)  - sitagliptin + metformin (Janumet)
                
Other types of diabetes pills, when taken alone, do not cause hypoglycemia. Examples of these medications are
                
- acarbose (Precose)  - metformin (Glucophage)  - miglitol (Glyset)  - pioglitazone (Actos)  - rosiglitazone (Avandia)
                
However, taking these pills along with other diabetes medicationsinsulin, pills that increase insulin production, or bothincreases the risk of hypoglycemia.
                
In addition, use of the following injectable medications can cause hypoglycemia:
                
- Pramlintide (Symlin), which is used along with insulin  - Exenatide (Byetta), which can cause hypoglycemia when used in combination with chlorpropamide, glimepiride, glipizide, glyburide, tolazamide, and tolbutamide
                
More information about diabetes medications is provided in the NIDDK health topic, What I need to know about Diabetes Medicines, or by calling 18008608747.
                
Other Causes of Hypoglycemia
                
In people on insulin or pills that increase insulin production, low blood glucose can be due to
                
- meals or snacks that are too small, delayed, or skipped  - increased physical activity  - alcoholic beverages"
What are the treatments for Laryngeal Cancer ?,"Key Points
                    - There are different types of treatment for patients with laryngeal cancer.     - Three types of standard treatment are used:         - Radiation therapy      - Surgery     - Chemotherapy         - New types of treatment are being tested in clinical trials.          - Chemoprevention     - Radiosensitizers        - Patients may want to think about taking part in a clinical trial.    - Patients can enter clinical trials before, during, or after starting their cancer treatment.    - Follow-up tests may be needed.
                
                
                    There are different types of treatment for patients with laryngeal cancer.
                    Different types of treatment are available for patients with laryngeal cancer. Some treatments are standard (the currently used treatment), and some are being tested in clinical trials. A treatment clinical trial is a research study meant to help improve current treatments or obtain information on new treatments for patients with cancer. When clinical trials show that a new treatment is better than the standard treatment, the new treatment may become the standard treatment. Patients may want to think about taking part in a clinical trial. Some clinical trials are open only to patients who have not started treatment.
                
                
                    Three types of standard treatment are used:
                    Radiation therapy      Radiation therapy is a cancer treatment that uses high-energy x-rays or other types of radiation to kill cancer cells. There are two types of radiation therapy. External radiation therapy uses a machine outside the body to send radiation toward the cancer. Internal radiation therapy uses a radioactive substance sealed in needles, seeds, wires, or catheters that are placed directly into or near the cancer. The way the radiation therapy is given depends on the type and stage of the cancer being treated.        Radiation therapy may work better in patients who have stopped smoking before beginning treatment. External radiation therapy to the thyroid or the pituitary gland may change the way the thyroid gland works. The doctor may test the thyroid gland before and after therapy to make sure it is working properly.      Hyperfractionated radiation therapy and new types of radiation therapy are being studied in the treatment of laryngeal cancer.       Surgery     Surgery (removing the cancer in an operation) is a common treatment for all stages of laryngeal cancer. The following surgical procedures may be used:            -  Cordectomy: Surgery to remove the vocal cords only.     -  Supraglottic laryngectomy: Surgery to remove the supraglottis only.      -  Hemilaryngectomy: Surgery to remove half of the larynx (voice box). A hemilaryngectomy saves the voice.     -  Partial laryngectomy: Surgery to remove part of the larynx (voice box). A partial laryngectomy helps keep the patient's ability to talk.     -  Total laryngectomy: Surgery to remove the whole larynx. During this operation, a hole is made in the front of the neck to allow the patient to breathe. This is called a tracheostomy.     -  Thyroidectomy: The removal of all or part of the thyroid gland.     -  Laser surgery: A surgical procedure that uses a laser beam (a narrow beam of intense light) as a knife to make bloodless cuts in tissue or to remove a surface lesion such as a tumor            Even if the doctor removes all the cancer that can be seen at the time of the surgery, some patients may be given chemotherapy or radiation therapy after surgery to kill any cancer cells that are left. Treatment given after the surgery, to lower the risk that the cancer will come back, is called adjuvant therapy.       Chemotherapy     Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping the cells from dividing. When chemotherapy is taken by mouth or injected into a vein or muscle, the drugs enter the bloodstream and can reach cancer cells throughout the body (systemic chemotherapy). When chemotherapy is placed directly into the cerebrospinal fluid, an organ, or a body cavity such as the abdomen, the drugs mainly affect cancer cells in those areas (regional chemotherapy). The way the chemotherapy is given depends on the type and stage of the cancer being treated.     See Drugs Approved for Head and Neck Cancer for more information. (Laryngeal cancer is a type of head and neck cancer.)
                
                
                    New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI Web site.     Chemoprevention     Chemoprevention is the use of drugs, vitamins, or other substances to reduce the risk of developing cancer or to reduce the risk cancer will recur (come back). The drug isotretinoin is being studied to prevent the development of a second cancer in patients who have had cancer of the head or neck.        Radiosensitizers     Radiosensitizers are drugs that make tumor cells more sensitive to radiation therapy. Combining radiation therapy with radiosensitizers may kill more tumor cells.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.
                
		        
		            Treatment Options by Stage
		            
		                
		                    Stage I Laryngeal Cancer
		                    Treatment of stage I laryngeal cancer depends on where cancer is found in the larynx.   If cancer is in the supraglottis, treatment may include the following:         -  Radiation therapy.    -  Supraglottic laryngectomy.        If cancer is in the glottis, treatment may include the following:         - Radiation therapy.    -  Cordectomy.    -  Partial laryngectomy, hemilaryngectomy, or total laryngectomy.    -  Laser surgery.        If cancer is in the subglottis, treatment may include the following:         - Radiation therapy with or without surgery.    - Surgery alone.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage I laryngeal cancer. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Stage II Laryngeal Cancer
		                    Treatment of stage II laryngeal cancer depends on where cancer is found in the larynx.   If cancer is in the supraglottis, treatment may include the following:         -  Radiation therapy     -  Supraglottic laryngectomy or total laryngectomy with or without radiation therapy.    - A clinical trial of radiation therapy.    - A clinical trial of chemoprevention.        If cancer is in the glottis, treatment may include the following:         - Radiation therapy.    -  Partial laryngectomy, hemilaryngectomy, or total laryngectomy.    -  Laser surgery.    - A clinical trial of radiation therapy.    - A clinical trial of chemoprevention.        If cancer is in the subglottis, treatment may include the following:         - Radiation therapy with or without surgery.    - Surgery alone.    - A clinical trial of radiation therapy.    - A clinical trial of chemoprevention.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage II laryngeal cancer. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Stage III Laryngeal Cancer
		                    Treatment of stage III laryngeal cancer depends on where cancer is found in the larynx.   If cancer is in the supraglottis or glottis, treatment may include the following:         -  Chemotherapy and radiation therapy given together.    - Chemotherapy followed by chemotherapy and radiation therapy given together. Laryngectomy may be done if cancer remains.    - Radiation therapy for patients who cannot be treated with chemotherapy and surgery.For tumors that do not respond to radiation, total laryngectomy may be done.    - Surgery, which may be followed by radiation therapy.    - A clinical trial of radiation therapy.    - A clinical trial of chemotherapy, radiosensitizers, or radiation therapy.    - A clinical trial of chemoprevention.        If cancer is in the subglottis, treatment may include the following:         - Laryngectomy plus total thyroidectomy and removal of lymph nodes in the throat, usually followed by radiation therapy.    - Radiation therapy with or without surgery.    - A clinical trial of chemotherapy, radiosensitizers, or radiation therapy.    - A clinical trial of chemoprevention.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage III laryngeal cancer. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Stage IV Laryngeal Cancer
		                    Treatment of stage IV laryngeal cancer depends on where cancer is found in the larynx.   If cancer is in the supraglottis or glottis, treatment may include the following:         -  Chemotherapy and radiation therapy given together.    - Chemotherapy followed by chemotherapy and radiation therapy given together. Laryngectomy may be done if cancer remains.    - Radiation therapy for patients who cannot be treated with chemotherapy and surgery. For tumors that do not respond to radiation, total laryngectomy may be done.    - Surgery followed by radiation therapy. Chemotherapy may be given with the radiation therapy.    - A clinical trial of radiation therapy.    - A clinical trial of chemotherapy, radiosensitizers, or radiation therapy.    - A clinical trial of chemoprevention.        If cancer is in the subglottis, treatment may include the following:         - Laryngectomy plus total thyroidectomy and removal of lymph nodes in the throat, usually with radiation therapy.     - Radiation therapy.    - A clinical trial of radiation therapy.    - A clinical trial of chemotherapy, radiosensitizers, or radiation therapy.    - A clinical trial of chemoprevention.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage IV laryngeal cancer. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website."
How many people are affected by acromicric dysplasia ?,Acromicric dysplasia is a rare disorder; its prevalence is unknown.
What are the treatments for Neurological Consequences of Cytomegalovirus Infection ?,"Since the virus remains in the person for life, there is no treatment to eliminate CMV infection. However, minimizing contact with infected body fluids can decrease the risk of viral transmission between individuals or from mother to fetus. Contact can be minimized by using gloves or other protective barriers when handling body fluids or contaminated materials (such as diapers or tissues), avoiding shared dishes, utensils, and other personal items, and consistent and thorough hand-washing. 
                
Antiviral drugs (ganciclovir and others)can be used to prevent or control the symptoms of CMV infection in immunocompromised individuals or some infants with congenital infection. CMV immunoglobulin may also be used in some patients. Vaccines are in the development and human clinical trial stages, which shows that vaccines may help prevent initial CMV infection or decrease the severity of symptoms."
Is complement factor I deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the symptoms of Kowarski syndrome ?,"What are the signs and symptoms of Kowarski syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Kowarski syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of metabolism/homeostasis - Autosomal recessive inheritance - Delayed skeletal maturation - Pituitary dwarfism - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Benign paroxysmal positional vertigo ?,"What are the signs and symptoms of Benign paroxysmal positional vertigo? The Human Phenotype Ontology provides the following list of signs and symptoms for Benign paroxysmal positional vertigo. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Gait imbalance - Slow progression - Vertigo - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the treatments for Pineal cyst ?,"How might pineal cysts be treated? The best treatment options for pineal cysts depend on many factors, including the size of the cyst and whether or not it is associated with symptoms. For example, people with pineal cysts that do not cause symptoms may not require any form of treatment. However, they may need to have regular check-ups with a physician and follow up imaging if they have a large cyst (greater than 10-14 mm) or develop symptoms that could be related to the cyst. Treatment is often recommended for those individuals with pineal cysts that cause hydrocephalus; neurological symptoms such as headache or disturbance of vision; or enlargement of the cyst over time. Treatment may include surgery to remove the cyst, sometimes followed by the placement of a ventriculoperitoneal shunt. Aspiration of the contents of the cyst using ultrasound guidance has been explored as an alternative approach to surgery, and more recently, endoscopic procedures have been used. Radiation therapy may be recommended for cysts that recur after treatment. What is the appropriate follow-up for a pineal cyst found incidentally on MRI? There is limited information about what happens to a pineal cyst over time.  Several studies have shown that most pineal cysts remain stable and do not increase in size or cause symptoms later in life.  One study found that larger cysts were more likely to decrease in size over time, and there is currently no evidence that larger cysts are more likely to cause symptoms.   Because guidelines for management depend on an understanding of the typical course of a condition, and currently there is limited information about pineal cysts, there is some debate about the most appropriate way to manage these cysts.  Some studies do not recommend repeated magnetic resonance imaging (MRI) of the cyst.  Other studies state that repeated imaging of a pineal cyst is not required.  Another approach is for individuals with a pineal cyst to have regular check-ups with their personal doctor; if at any point new symptoms arise that may be related to the pineal cyst, repeat imaging should be done."
What is (are) Coffin-Siris syndrome ?,"Coffin-Siris syndrome is a condition that affects several body systems. Although there are many variable signs and symptoms, hallmarks of this condition include developmental disability, abnormalities of the fifth (pinky) fingers or toes, and characteristic facial features.  Most affected individuals have mild to severe intellectual disability or delayed development of speech and motor skills such as sitting and walking. Another feature of Coffin-Siris syndrome is underdevelopment (hypoplasia) of the tips of the fingers or toes, or hypoplasia or absence of the nails. These abnormalities are most common on the fifth fingers or toes. In addition, most affected individuals have facial features described as coarse. These typically include a wide nose with a flat nasal bridge, a wide mouth with thick lips, and thick eyebrows and eyelashes. Affected individuals can have excess hair on other parts of the face and body (hirsutism), but scalp hair is often sparse. There is a range of facial features seen in people with Coffin-Siris syndrome, and not all affected individuals have the typical features. In addition, people with this condition may have an abnormally small head (microcephaly).  Additionally, some infants and children with Coffin-Siris syndrome have frequent respiratory infections, difficulty feeding, and an inability to gain weight at the expected rate (failure to thrive). Other signs and symptoms that may occur in people with this condition include short stature, low muscle tone (hypotonia), and abnormally loose (lax) joints. Abnormalities of the eyes, brain, heart, and kidneys may also be present."
Is Gordon syndrome inherited ?,"How is Gordon syndrome inherited? While some reports suggest Gordon syndrome may be inherited in an X-linked dominant manner, most agree that it is inherited in an autosomal dominant manner with reduced expressivity and incomplete penetrance in females. In autosomal dominant inheritance, having only one mutated copy of the disease-causing gene in each cell is sufficient to cause signs and symptoms of the condition. When an individual with an autosomal dominant condition has children, each child has a 50% (1 in 2) risk to inherit the mutated copy of the gene. If a condition shows variable or reduced expressivity, it means that there can be a range in the nature and severity of signs and symptoms among affected individuals. Incomplete penetrance means that a portion of the individuals who carry the mutated copy of the disease-causing gene will not have any features of the condition."
What are the symptoms of Brachyolmia ?,"What are the signs and symptoms of Brachyolmia? The Human Phenotype Ontology provides the following list of signs and symptoms for Brachyolmia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Platyspondyly 90% Short stature 90% Short thorax 90% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
Is Tietz syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the condition."
what research (or clinical trials) is being done for Spinal Cord Infarction ?,"NINDS conducts and supports research on disorders of the spinal cord such as spinal cord infarction, aimed at learning more about these disorders and finding ways to prevent and treat them."
What is (are) Amniotic band syndrome ?,"Amniotic band syndrome refers to a condition in which bands extend from (and originating from) the inner lining of the amnion. The amnion is the sac that surrounds the baby in the womb. As the baby develops in the womb, its extremities may become entangled in the amniotic band resulting in constriction or even amputation. When this happens the baby is said to have amniotic band syndrome. Amniotic bands are thought to happen sporadically or in association with trauma to the abdomen. It can be a complication after an amniocentesis and/or it can indicate early rupture of the amniotic sac."
What are the treatments for Kennedy's Disease ?,Currently there is no known cure for Kennedy's disease. Treatment is symptomatic and supportive. Physical therapy and rehabilitation to slow muscle weakness and atrophy may prove helpful.
What is (are) Diabetes ?,"Diabetes means your blood glucose (often called blood sugar) is too high. Your blood always has some glucose in it because your body needs glucose for energy to keep you going. But too much glucose in the blood isn't good for your health. Glucose comes from the food you eat and is also made in your liver and muscles. Your blood carries the glucose to all of the cells in your body. Insulin is a chemical (a hormone) made by the pancreas. The pancreas releases insulin into the blood. Insulin helps the glucose from food get into your cells. If your body does not make enough insulin or if the insulin doesn't work the way it should, glucose can't get into your cells. It stays in your blood instead. Your blood glucose level then gets too high, causing pre-diabetes or diabetes."
What are the genetic changes related to spina bifida ?,"Spina bifida is a complex condition that is likely caused by the interaction of multiple genetic and environmental factors. Some of these factors have been identified, but many remain unknown.  Changes in dozens of genes in individuals with spina bifida and in their mothers may influence the risk of developing this type of neural tube defect. The best-studied of these genes is MTHFR, which provides instructions for making a protein that is involved in processing the vitamin folate (also called vitamin B9). A shortage (deficiency) of this vitamin is an established risk factor for neural tube defects. Changes in other genes related to folate processing and genes involved in the development of the neural tube have also been studied as potential risk factors for spina bifida. However, none of these genes appears to play a major role in causing the condition.  Researchers have also examined environmental factors that could contribute to the risk of spina bifida. As mentioned above, folate deficiency appears to play a significant role. Studies have shown that women who take supplements containing folic acid (the synthetic form of folate) before they get pregnant and very early in their pregnancy are significantly less likely to have a baby with spina bifida or a related neural tube defect. Other possible maternal risk factors for spina bifida include diabetes mellitus, obesity, exposure to high heat (such as a fever or use of a hot tub or sauna) in early pregnancy, and the use of certain anti-seizure medications during pregnancy. However, it is unclear how these factors may influence the risk of spina bifida."
What is (are) Porphyria ?,"Heme is a red pigment composed of iron linked to a chemical called protoporphyrin. Heme has important functions in the body. The largest amounts of heme are in the form of hemoglobin, found in red blood cells and bone marrow. Hemoglobin carries oxygen from the lungs to all parts of the body. In the liver, heme is a component of proteins that break down hormones, medications, and other chemicals and keep liver cells functioning normally. Heme is an important part of nearly every cell in the body."
What is (are) isodicentric chromosome 15 syndrome ?,"Isodicentric chromosome 15 syndrome is a developmental disorder with a broad spectrum of features. The signs and symptoms vary among affected individuals.  Poor muscle tone is commonly seen in individuals with isodicentric chromosome 15 syndrome and contributes to delayed development and impairment of motor skills, including sitting and walking.  Babies with isodicentric chromosome 15 syndrome often have trouble feeding due to weak facial muscles that impair sucking and swallowing; many also have backflow of acidic stomach contents into the esophagus (gastroesophageal reflux). These feeding problems may make it difficult for them to gain weight.  Intellectual disability in isodicentric chromosome 15 syndrome can range from mild to profound. Speech is usually delayed and often remains absent or impaired. Behavioral difficulties often associated with isodicentric chromosome 15 syndrome include hyperactivity, anxiety, and frustration leading to tantrums. Other behaviors resemble features of autistic spectrum disorders, such as repeating the words of others (echolalia), difficulty with changes in routine, and problems with social interaction.  About two-thirds of people with isodicentric chromosome 15 syndrome have seizures. In more than half of affected individuals, the seizures begin in the first year of life.  About 40 percent of individuals with isodicentric chromosome 15 syndrome are born with eyes that do not look in the same direction (strabismus). Hearing loss in childhood is common and is usually caused by fluid buildup in the middle ear. This hearing loss is often temporary. However, if left untreated during early childhood, the hearing loss can interfere with language development and worsen the speech problems associated with this disorder.  Other problems associated with isodicentric chromosome 15 syndrome in some affected individuals include minor genital abnormalities in males such as undescended testes (cryptorchidism) and a spine that curves to the side (scoliosis)."
